rank,canonical_name,rxcui,priority_score,category
1,SILICON DIOXIDE,9771,100,
2,POVIDONE-IODINE,108204,100,
3,NAPROXEN,198014,100,
4,BENZALKONIUM CHLORIDE,1046593,100,
5,SALICYLIC ACID,562600,100,
6,TRAMETINIB DIMETHYL SULFOXIDE,1425116,100,
7,GLIMEPIRIDE,199247,100,
8,METHOCARBAMOL,197944,100,
9,HYDROCORTISONE,106258,100,
10,VARENICLINE TARTRATE,636671,100,
11,AESCULUS HIPPOCASTANUM FLOWER,1309497,100,
12,ACETAMINOPHEN,198440,100,
13,GLYCERIN,998232,100,
14,BENZOCAINE,637518,100,
15,TAMSULOSIN HYDROCHLORIDE,236495,100,
16,ALUMINUM CHLOROHYDRATE,17610,100,
17,BETAMETHASONE DIPROPIONATE,848176,100,
18,POVIDONE-IODINE,314188,100,
19,CALCIUM ACETATE,359296,100,
20,SACUBITRIL,1656340,100,
21,LANOLIN,2618668,100,
22,ETODOLAC,197686,100,
23,SODIUM FLUORIDE,240698,100,
24,SERTRALINE HYDROCHLORIDE,312940,100,
25,ESOMEPRAZOLE MAGNESIUM,433733,100,
26,OCTISALATE,91327,100,
27,POLYETHYLENE GLYCOL 400,2360899,100,
28,POLYETHYLENE GLYCOL 400,996209,100,
29,NICOTINE,359817,99,
30,ISOPROPYL ALCOHOL,808520,99,
31,FLUDROCORTISONE ACETATE,313979,99,
32,LACOSAMIDE,809974,99,
33,NAPROXEN SODIUM,849574,99,
34,CHLOROXYLENOL,413261,99,
35,CARBAMIDE PEROXIDE,702050,99,
36,AMPHETAMINE SULFATE,884655,99,
37,ALUMINUM SESQUICHLOROHYDRATE,543375,99,
38,BELLIS PERENNIS,1326077,99,
39,PHENAZOPYRIDINE HYDROCHLORIDE,1094104,99,
40,AVOBENZONE,45045,99,
41,ZINC OXIDE,245660,99,
42,FAMOTIDINE,310273,99,
43,MENTHOL,1250189,99,
44,SODIUM FLUORIDE,9873,99,
45,CAMPHOR (SYNTHETIC),1371994,99,
46,ZINC OXIDE,11423,99,
47,ALUMINUM FLUORIDE,2273602,99,
